0.171870722211855	0.0347749308767445	0.0156575087822886	0.134132972549277	0.139721293599784	0.0610553707763212	0.114856112307538	-0.0876460482661073	0.0380170459467766	0.0997436104242476
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
1.75486926423426e-05	-2.11948327689665e-05	-1.91215398241655e-05	-6.79458658157447e-06	1.93472729753908e-05	1.72149707754454e-05	1.33773826443315e-05	-5.01450790786070e-06	-2.93447662565224e-05	9.51912156282089e-06
7.13148998869671e-05	-8.61321927419708e-05	-7.77066831152259e-05	-2.76120433421442e-05	7.86240242191412e-05	6.99587110236182e-05	5.43634060652614e-05	-2.03781066042853e-05	-0.000119252135212677	3.86840897552940e-05
1.15746696151622e-05	-1.39795705497440e-05	-1.26120794584922e-05	-4.48153583040030e-06	1.27609672816407e-05	1.13545551923150e-05	8.82338004200581e-06	-3.30744138603581e-06	-1.93550585947277e-05	6.27856954143515e-06
-4.78570722735229e-07	-1.58945484293708e-07	9.40676467821859e-08	-7.87771420815390e-09	-5.32426739260617e-07	1.26889554293352e-07	1.85615057913212e-06	3.25556388213634e-07	-5.27685422376909e-07	-1.81022307180078e-07
-6.12570525101092e-05	-2.03450219895943e-05	1.20406587881203e-05	-1.00834741864354e-06	-6.81506226253585e-05	1.62418629495495e-05	0.000237587274128912	4.16712176913455e-05	-6.75437340642440e-05	-2.31708553190495e-05
0	0	0	0	0	0	0	0	0	0
2.56777909019886e-05	-3.12508176894476e-06	-9.48193967420408e-06	2.33397232248416e-06	-1.62087750584868e-06	-6.66256512270063e-06	-2.15730028142773e-06	6.42477770744142e-06	-8.78046264716875e-06	5.88848105512495e-06
3.09302538414177e-06	5.90712763494001e-05	-0.000137285575197592	-8.64101320196145e-06	0.000363963513740174	-8.32847974640737e-05	1.35842819854252e-05	1.37781936082432e-05	-0.000125334904836731	-3.87643499029860e-05
-1.76436915281051e-06	2.29299206628980e-05	-4.60540806570495e-05	-8.12468027365957e-06	0.000113993487882333	-2.77340144374107e-05	2.27606107743335e-05	3.76557879979820e-06	-4.11554023392775e-05	-1.57132813639366e-05
-1.58693124389815e-05	2.05028475337370e-05	-6.29809516742043e-06	-3.02589826776730e-05	-2.96023199839615e-05	-2.65012011411936e-06	0.000104643771632816	-4.26208642871491e-06	-6.65941106414254e-07	-1.72601692902337e-05
0	0	0	0	0	0	0	0	0	0
-5.08410064774132e-06	1.87293119768344e-05	-4.55468870140226e-05	-3.37709062455090e-05	-1.42174387099028e-05	-6.82617253119054e-06	-4.55117712446344e-05	-2.69052142905233e-05	0.000140690973943058	1.80249430502352e-05
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2.70104508127763e-05	-5.79550735314551e-06	-8.76008688843144e-06	-5.65069620455535e-06	5.32460574849545e-06	5.77714027405262e-06	-1.25114270585985e-05	-6.31763597142034e-06	-8.26540159899314e-07	2.83413483411040e-07
2.61663742248771e-05	-5.61439774835969e-06	-8.48633417316798e-06	-5.47411194816294e-06	5.15821181885499e-06	5.59660464048857e-06	-1.21204449630173e-05	-6.12020984731345e-06	-8.00710779902380e-07	2.74556812054465e-07
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
